model,repeat,p_pos,roc_auc,average_precision,n_iter,study,info_scale
auc_model,0,0.02,0.6471107462513076,0.049706907677928576,23.0,imbalance,
ap_model,0,0.02,0.6478432911000037,0.050036934387711354,21.0,imbalance,
penalized_model,0,0.02,0.6520569375024218,0.036439827557669925,24.0,imbalance,
auc_model,1,0.02,0.6510206914403726,0.05699555654901687,23.0,imbalance,
ap_model,1,0.02,0.6524378234502989,0.05586274423705473,21.0,imbalance,
penalized_model,1,0.02,0.6487163278742644,0.05068608412240334,24.0,imbalance,
auc_model,2,0.02,0.6747401274946245,0.05231634115196818,23.0,imbalance,
ap_model,2,0.02,0.6770095166712091,0.05317098157935547,21.0,imbalance,
penalized_model,2,0.02,0.6508708473395718,0.04509524845519701,24.0,imbalance,
auc_model,3,0.02,0.6958653918055615,0.0543527796993259,23.0,imbalance,
ap_model,3,0.02,0.6960604204939784,0.05611703892030976,21.0,imbalance,
penalized_model,3,0.02,0.700744140550001,0.05147389528591047,24.0,imbalance,
auc_model,4,0.02,0.7216031973345804,0.06751991405360104,23.0,imbalance,
ap_model,4,0.02,0.7198605915361234,0.06633530373190885,21.0,imbalance,
penalized_model,4,0.02,0.725584339198036,0.06756149946435303,24.0,imbalance,
auc_model,5,0.02,0.6916072380507873,0.03773730323904269,23.0,imbalance,
ap_model,5,0.02,0.6933586376833479,0.037824954142793986,21.0,imbalance,
penalized_model,5,0.02,0.6933037277013996,0.03544453564688294,24.0,imbalance,
auc_model,6,0.02,0.6552893454187866,0.030136315517948757,23.0,imbalance,
ap_model,6,0.02,0.6561965560733679,0.030182375353282435,21.0,imbalance,
penalized_model,6,0.02,0.6890485377741673,0.04247829805976948,24.0,imbalance,
auc_model,7,0.02,0.7129384623638608,0.05844405224209112,23.0,imbalance,
ap_model,7,0.02,0.7129706529320242,0.05833036162275729,21.0,imbalance,
penalized_model,7,0.02,0.7108010086378024,0.05095097294998342,24.0,imbalance,
auc_model,8,0.02,0.6822608509040184,0.037103319196804485,23.0,imbalance,
ap_model,8,0.02,0.6827276141423896,0.037433032161762816,21.0,imbalance,
penalized_model,8,0.02,0.6700413112291432,0.034386248695922536,24.0,imbalance,
auc_model,9,0.02,0.6684913692897827,0.04787724515638168,23.0,imbalance,
ap_model,9,0.02,0.6687214246968112,0.04824937587311536,21.0,imbalance,
penalized_model,9,0.02,0.6463382444108644,0.06004926290056847,24.0,imbalance,
auc_model,10,0.02,0.6510488643208958,0.0383119770222039,23.0,imbalance,
ap_model,10,0.02,0.655382959498246,0.03956735013593636,21.0,imbalance,
penalized_model,10,0.02,0.6505162379079408,0.038928581863264256,24.0,imbalance,
auc_model,11,0.02,0.6513836579215624,0.030493283400055176,23.0,imbalance,
ap_model,11,0.02,0.6521594506143035,0.03008744829152314,21.0,imbalance,
penalized_model,11,0.02,0.6600686732120822,0.03318426684884019,24.0,imbalance,
auc_model,12,0.02,0.6521805504063316,0.04776098686587743,23.0,imbalance,
ap_model,12,0.02,0.655383422781136,0.04848109586385464,21.0,imbalance,
penalized_model,12,0.02,0.6398310041218024,0.037716055701671414,24.0,imbalance,
auc_model,13,0.02,0.6887845379066286,0.057860564285976135,23.0,imbalance,
ap_model,13,0.02,0.6880269257560109,0.05798341217668732,21.0,imbalance,
penalized_model,13,0.02,0.6851846291803777,0.05497767760969299,24.0,imbalance,
auc_model,14,0.02,0.690534513899548,0.042863709697182464,23.0,imbalance,
ap_model,14,0.02,0.6922975834277773,0.0433550576473925,21.0,imbalance,
penalized_model,14,0.02,0.6997577750630268,0.048540788948537125,24.0,imbalance,
auc_model,15,0.02,0.6478397930374176,0.04437977477783368,23.0,imbalance,
ap_model,15,0.02,0.6492532088477204,0.04486736308412292,21.0,imbalance,
penalized_model,15,0.02,0.6587147805661013,0.049657097820841635,24.0,imbalance,
auc_model,16,0.02,0.7091344161972841,0.046304995940168465,23.0,imbalance,
ap_model,16,0.02,0.7031542100933913,0.04632790741698018,21.0,imbalance,
penalized_model,16,0.02,0.7388434495623475,0.05050160820204792,24.0,imbalance,
auc_model,17,0.02,0.7016974880173017,0.0540930837161133,23.0,imbalance,
ap_model,17,0.02,0.7022728767243395,0.05446846620616158,21.0,imbalance,
penalized_model,17,0.02,0.7103420183539864,0.05478692478266185,24.0,imbalance,
auc_model,18,0.02,0.6702337722118307,0.054444139756622656,23.0,imbalance,
ap_model,18,0.02,0.6698529196866962,0.05372341321580874,21.0,imbalance,
penalized_model,18,0.02,0.6731828676642506,0.058623148102037136,24.0,imbalance,
auc_model,19,0.02,0.689676367532886,0.04047094279195017,23.0,imbalance,
ap_model,19,0.02,0.6903611474500987,0.04011231499374479,21.0,imbalance,
penalized_model,19,0.02,0.6908037891885851,0.038470079092345025,24.0,imbalance,
auc_model,20,0.02,0.6453915171288744,0.04315694539554914,23.0,imbalance,
ap_model,20,0.02,0.6446629452147907,0.04298532224330542,21.0,imbalance,
penalized_model,20,0.02,0.6543489158510059,0.04637782480864721,24.0,imbalance,
auc_model,21,0.02,0.6669974587746471,0.04257152471913146,23.0,imbalance,
ap_model,21,0.02,0.6697293275542612,0.04344903792714538,21.0,imbalance,
penalized_model,21,0.02,0.6551837493482056,0.05325470494356012,24.0,imbalance,
auc_model,22,0.02,0.6460637800160348,0.03505785896623726,23.0,imbalance,
ap_model,22,0.02,0.6435349207232498,0.03507467096276723,21.0,imbalance,
penalized_model,22,0.02,0.6450827392471954,0.04346118673834096,24.0,imbalance,
auc_model,23,0.02,0.6782673614068963,0.041753013359868835,23.0,imbalance,
ap_model,23,0.02,0.6796421709212407,0.04158408266044026,21.0,imbalance,
penalized_model,23,0.02,0.6679953336930082,0.04325452221452721,24.0,imbalance,
auc_model,24,0.02,0.6889489795918369,0.04908763733131766,23.0,imbalance,
ap_model,24,0.02,0.687695918367347,0.048916472395859105,21.0,imbalance,
penalized_model,24,0.02,0.6989020408163266,0.054085347509105756,24.0,imbalance,
auc_model,25,0.02,0.6264469387755103,0.040432737762171926,23.0,imbalance,
ap_model,25,0.02,0.6269775510204082,0.04058253599844059,21.0,imbalance,
penalized_model,25,0.02,0.6233397959183673,0.039073756685750596,24.0,imbalance,
auc_model,26,0.02,0.676028989736855,0.043931143821335845,23.0,imbalance,
ap_model,26,0.02,0.6743508925531398,0.04358866170531996,21.0,imbalance,
penalized_model,26,0.02,0.6817150639622549,0.05283077763865917,24.0,imbalance,
auc_model,27,0.02,0.6951009201250793,0.05802971689256581,23.0,imbalance,
ap_model,27,0.02,0.6971388251587046,0.057842961099064796,21.0,imbalance,
penalized_model,27,0.02,0.6997387975483782,0.06545341939413529,24.0,imbalance,
auc_model,28,0.02,0.6795790433280375,0.05408872799789114,23.0,imbalance,
ap_model,28,0.02,0.6774678824052417,0.05749377184317066,21.0,imbalance,
penalized_model,28,0.02,0.6793717725310858,0.052427480456719106,24.0,imbalance,
auc_model,29,0.02,0.6800724489795918,0.037183752486592815,23.0,imbalance,
ap_model,29,0.02,0.6802224489795917,0.03723224054709476,21.0,imbalance,
penalized_model,29,0.02,0.7000765306122448,0.05381046729066528,24.0,imbalance,
auc_model,30,0.02,0.64232885142138,0.054736832091585544,23.0,imbalance,
ap_model,30,0.02,0.6434531851495411,0.05463365122781756,21.0,imbalance,
