model,repeat,info_scale,roc_auc,average_precision,study
auc_model,0,0.1,0.5144975390437582,0.10783514336479405,feature_info
ap_model,0,0.1,0.5144975390437582,0.10783514336479405,feature_info
auc_model,1,0.1,0.4822827347698856,0.09940600878400742,feature_info
ap_model,1,0.1,0.4822827347698856,0.09940600878400742,feature_info
auc_model,2,0.1,0.5000002210442039,0.10604673310556237,feature_info
ap_model,2,0.1,0.5000002210442039,0.10604673310556237,feature_info
auc_model,3,0.1,0.5037668161434977,0.10820749747375366,feature_info
ap_model,3,0.1,0.5037668161434977,0.10820749747375366,feature_info
auc_model,4,0.1,0.5144060376281194,0.11209809420377415,feature_info
ap_model,4,0.1,0.5144060376281194,0.11209809420377415,feature_info
auc_model,5,0.1,0.49274212193589406,0.09067266826085457,feature_info
ap_model,5,0.1,0.49274212193589406,0.09067266826085457,feature_info
auc_model,6,0.1,0.5007649717983674,0.09787162461916674,feature_info
ap_model,6,0.1,0.5007649717983674,0.09787162461916674,feature_info
auc_model,7,0.1,0.48850070819821906,0.09586777076286927,feature_info
ap_model,7,0.1,0.48850070819821906,0.09586777076286927,feature_info
auc_model,8,0.1,0.4914337435745354,0.10166959122865989,feature_info
ap_model,8,0.1,0.4914337435745354,0.10166959122865989,feature_info
auc_model,9,0.1,0.5175468450485956,0.10082509760211356,feature_info
ap_model,9,0.1,0.5175468450485956,0.10082509760211356,feature_info
auc_model,10,0.1,0.5023369081828134,0.09226842780158627,feature_info
ap_model,10,0.1,0.5023369081828134,0.09226842780158627,feature_info
auc_model,11,0.1,0.489863356297381,0.09399127358049038,feature_info
ap_model,11,0.1,0.489863356297381,0.09399127358049038,feature_info
auc_model,12,0.1,0.4825478969390002,0.09006155687751805,feature_info
ap_model,12,0.1,0.4825478969390002,0.09006155687751805,feature_info
auc_model,13,0.1,0.49343436928430096,0.09982847939160405,feature_info
ap_model,13,0.1,0.49343436928430096,0.09982847939160405,feature_info
auc_model,14,0.1,0.5097157489340202,0.10279812384090567,feature_info
ap_model,14,0.1,0.5097157489340202,0.10279812384090567,feature_info
auc_model,15,0.1,0.49560473596758275,0.10369234533284322,feature_info
ap_model,15,0.1,0.49560473596758275,0.10369234533284322,feature_info
auc_model,16,0.1,0.47437434543285095,0.09677173928218877,feature_info
ap_model,16,0.1,0.47437434543285095,0.09677173928218877,feature_info
auc_model,17,0.1,0.49465765303728,0.10295174124583427,feature_info
ap_model,17,0.1,0.49465765303728,0.10295174124583427,feature_info
auc_model,18,0.1,0.48367423592032965,0.09878509645771641,feature_info
ap_model,18,0.1,0.48367423592032965,0.09878509645771641,feature_info
auc_model,19,0.1,0.4812140321726267,0.09534530997886878,feature_info
ap_model,19,0.1,0.4812140321726267,0.09534530997886878,feature_info
auc_model,20,0.1,0.5243810999690816,0.11115549599545917,feature_info
ap_model,20,0.1,0.5243810999690816,0.11115549599545917,feature_info
auc_model,21,0.1,0.5109075404280915,0.09999185765087276,feature_info
