model,repeat,p_pos,roc_auc,average_precision,study
auc_model,0,0.02,0.6471107462513076,0.049706907677928576,imbalance
ap_model,0,0.02,0.6478432911000037,0.050036934387711354,imbalance
auc_model,1,0.02,0.6510206914403726,0.05699555654901687,imbalance
ap_model,1,0.02,0.6524378234502989,0.05586274423705473,imbalance
auc_model,2,0.02,0.6747401274946245,0.05231634115196818,imbalance
ap_model,2,0.02,0.6770095166712091,0.05317098157935547,imbalance
auc_model,3,0.02,0.6958653918055615,0.0543527796993259,imbalance
ap_model,3,0.02,0.6960604204939784,0.05611703892030976,imbalance
auc_model,4,0.02,0.7216031973345804,0.06751991405360104,imbalance
ap_model,4,0.02,0.7198605915361234,0.06633530373190885,imbalance
auc_model,5,0.02,0.6916072380507873,0.03773730323904269,imbalance
ap_model,5,0.02,0.6933586376833479,0.037824954142793986,imbalance
auc_model,6,0.02,0.6552893454187866,0.030136315517948757,imbalance
ap_model,6,0.02,0.6561965560733679,0.030182375353282435,imbalance
auc_model,7,0.02,0.7129384623638608,0.05844405224209112,imbalance
ap_model,7,0.02,0.7129706529320242,0.05833036162275729,imbalance
auc_model,8,0.02,0.6822608509040184,0.037103319196804485,imbalance
ap_model,8,0.02,0.6827276141423896,0.037433032161762816,imbalance
auc_model,9,0.02,0.6684913692897827,0.04787724515638168,imbalance
ap_model,9,0.02,0.6687214246968112,0.04824937587311536,imbalance
auc_model,10,0.02,0.6510488643208958,0.0383119770222039,imbalance
ap_model,10,0.02,0.655382959498246,0.03956735013593636,imbalance
auc_model,11,0.02,0.6513836579215624,0.030493283400055176,imbalance
ap_model,11,0.02,0.6521594506143035,0.03008744829152314,imbalance
auc_model,12,0.02,0.6521805504063316,0.04776098686587743,imbalance
ap_model,12,0.02,0.655383422781136,0.04848109586385464,imbalance
auc_model,13,0.02,0.6887845379066286,0.057860564285976135,imbalance
ap_model,13,0.02,0.6880269257560109,0.05798341217668732,imbalance
