pca_dimension,explained_variance_ratio,cumulative_explained_variance,relative_reconstruction_error
1,0.033283686052279646,0.033283686052279646,0.9667163139477204
2,0.021122210074443433,0.05440589612672308,0.9455941038732769
3,0.015727171431596666,0.07013306755831974,0.9298669324416803
4,0.011205183832560802,0.08133825139088055,0.9186617486091194
5,0.010720706163290253,0.0920589575541708,0.9079410424458292
6,0.010363753053079896,0.1024227106072507,0.8975772893927493
7,0.010267468432958957,0.11269017904020966,0.8873098209597904
8,0.010179854508985299,0.12287003354919496,0.877129966450805
9,0.010179611484760886,0.13304964503395583,0.8669503549660442
10,0.009814920372784372,0.1428645654067402,0.8571354345932598
11,0.009746889052725305,0.1526114544594655,0.8473885455405346
12,0.009746794555437989,0.16235824901490348,0.8376417509850965
13,0.009663473998741321,0.1720217230136448,0.8279782769863552
14,0.009587659914348982,0.18160938292799378,0.8183906170720062
15,0.00942861741065511,0.1910380003386489,0.8089619996613511
16,0.00935172722526559,0.2003897275639145,0.7996102724360855
17,0.009330280027835293,0.20972000759174977,0.7902799924082502
18,0.008733079670103247,0.21845308726185303,0.7815469127381469
19,0.008571436156659019,0.22702452341851204,0.772975476581488
20,0.008519547799727198,0.23554407121823923,0.7644559287817607
21,0.008443015092000487,0.24398708631023971,0.7560129136897603
22,0.008314908339193272,0.252301994649433,0.7476980053505671
23,0.008308905817591888,0.26061090046702484,0.7393890995329752
24,0.008293011450336158,0.268903911917361,0.7310960880826389
25,0.00823622285263897,0.27714013477,0.72285986523
26,0.008150386193732451,0.2852905209637324,0.7147094790362676
27,0.008137696259666542,0.29342821722339896,0.706571782776601
28,0.008120975902009837,0.3015491931254088,0.6984508068745912
29,0.008107120296284813,0.3096563134216936,0.6903436865783064
30,0.008080078809000248,0.31773639223069383,0.6822636077693062
31,0.008035460792481932,0.32577185302317574,0.6742281469768243
32,0.008022169002866564,0.3337940220260423,0.6662059779739578
33,0.00798353706172621,0.3417775590877685,0.6582224409122315
34,0.007972580608524103,0.34975013969629265,0.6502498603037073
35,0.007965874613023801,0.35771601430931643,0.6422839856906836
36,0.007877696753926654,0.36559371106324307,0.634406288936757
37,0.007861749889025427,0.3734554609522685,0.6265445390477316
38,0.007856753964494307,0.3813122149167628,0.6186877850832372
39,0.007831257587281214,0.389143472504044,0.610856527495956
40,0.007812590163986024,0.39695606266803,0.60304393733197
41,0.007781431746776765,0.4047374944148068,0.5952625055851932
42,0.007742715331485764,0.4124802097462925,0.5875197902537075
43,0.007710175514565283,0.4201903852608578,0.5798096147391423
44,0.0076365919322187595,0.42782697719307655,0.5721730228069235
45,0.007635241747422539,0.4354622189404991,0.5645377810595009
46,0.007615884741453406,0.4430781036819525,0.5569218963180476
47,0.00760432370509564,0.4506824273870481,0.5493175726129519
48,0.0075650427806380855,0.4582474701676862,0.5417525298323138
49,0.0075534782465745956,0.4658009484142608,0.5341990515857392
50,0.0075433018438925085,0.4733442502581533,0.5266557497418467
