model,train_auc,test_auc,test_ap,gen_gap,ece,boot_std,scenario,auc_regime_A,auc_regime_B,worst_regime_auc
logistic,0.848291835552982,0.5297933563887016,0.5283238812382545,0.3184984791642804,0.26015242196072447,0.0034669801361769796,pure_risk,,,
small_tree,0.6960491737561801,0.5029151728559123,0.5021516455589834,0.1931340009002679,0.1524844234090137,0.004007299121920731,pure_risk,,,
rulefit,0.9376419758585365,0.5350568296006186,0.5259604673537746,0.40258514625791786,0.2863801101086232,0.003928906588417941,pure_risk,,,
greedy_rule_list,0.6730212462696539,0.5047376658931066,0.5039769184859125,0.16828358037654723,0.13974383791253747,0.003933970682257118,pure_risk,,,
catboost,1.0,0.5239980908315806,0.5217044537097897,0.47600190916841945,0.1531824285692605,0.0038141943506260867,pure_risk,,,
logistic,1.0,0.515921100212052,0.5100124436496607,0.48407889978794805,0.3795081552254261,0.004004926564542613,epistemic,,,
small_tree,0.7453200213941878,0.4995296229256371,0.50081479823883,0.24579039846855077,0.23106258813160988,0.0030932849497687736,epistemic,,,
rulefit,0.9770012479942948,0.49702640188643227,0.500035442187431,0.4799748461078625,0.32283349430220815,0.0033634501514518684,epistemic,,,
greedy_rule_list,0.7096630415403816,0.49889513012752384,0.5007770735985995,0.21076791141285778,0.18345065382690479,0.003172894872445166,epistemic,,,
catboost,1.0,0.5108235427318234,0.5100940292087864,0.4891764572681766,0.20106074849086253,0.003774091216775147,epistemic,,,
logistic,0.848291835552982,0.4702066436112983,0.47449735518725095,0.3780851919416837,0.3023524219607244,0.00346698013617698,regime,0.5234275335570496,0.4668520595639683,0.4668520595639683
small_tree,0.6960491737561801,0.4970848271440877,0.4978736153542559,0.19896434661209245,0.1572844234090137,0.004007299121920732,regime,0.48895430615536717,0.49377994989495755,0.48895430615536717
rulefit,0.9376419758585365,0.4649431703993815,0.47577056046890276,0.472698805459155,0.31708011010862325,0.003928906588417942,regime,0.5215191166100976,0.46192775573033773,0.46192775573033773
greedy_rule_list,0.6730212462696539,0.4952623341068934,0.49609589283460326,0.17775891216276046,0.1454438379125375,0.003933970682257121,regime,0.48679904442950017,0.5000109600530467,0.48679904442950017
catboost,1.0,0.47600190916841945,0.47998243105642013,0.5239980908315806,0.18968242856926043,0.0038141943506260867,regime,0.5171069311901878,0.4654717328831872,0.4654717328831872
logistic,0.9996848408446265,0.5016210387392078,0.4984424636383194,0.4980638021054187,0.41998269099048924,0.004377206616490219,spurious,,,
small_tree,0.9669308000540272,0.49674797740661886,0.49554296064230097,0.47018282264740835,0.46174913183780175,0.003429969990277735,spurious,,,
rulefit,0.9995947953716626,0.5263751648969062,0.5234761014819843,0.47321963047475646,0.4938882157289594,0.004136156678742106,spurious,,,
greedy_rule_list,0.9651524019629912,0.4980593325658845,0.49673877914390435,0.4670930693971067,0.46057679435685184,0.0035428369472835343,spurious,,,
catboost,1.0,0.507762749737387,0.505971921344708,0.492237250262613,0.4677349812106389,0.0041133020153055,spurious,,,
logistic,0.8459281650071123,0.5218726563571692,0.5225135297790096,0.32405550864994315,0.2692753558151634,0.00363625931502238,ambiguous,,,
small_tree,0.6750311166429588,0.49909908210729914,0.5028640271247701,0.17593203453565964,0.1634651929763754,0.003640345412656311,ambiguous,,,
rulefit,0.9030049786628733,0.521958815459204,0.5234480933995194,0.38104616320366935,0.24045104905398856,0.004380614884258728,ambiguous,,,
greedy_rule_list,0.6666073968705547,0.4985512160233949,0.5025063767277236,0.1680561808471598,0.1510247632759396,0.003506140926260121,ambiguous,,,
catboost,1.0,0.5198272189738953,0.5221988167550349,0.4801727810261047,0.13306614440093886,0.004213901737038715,ambiguous,,,
