run_id,model_name,prior_method,prior_lambda,synthetic_prior_rho,calibration_method,score_transform,score_alpha,eval_split,average_precision,roc_auc,log_loss,brier_score,score_entropy,normalized_score_entropy,tie_rate,n_unique_scores,occupied_bins,max_score_gap,train_time_seconds,predict_time_seconds,n_train,n_eval,positive_rate_train,positive_rate_eval
0,logistic,none,,,none,raw,,val,0.0633037485802426,0.9178102050372832,0.06705748677067831,0.013654075007638359,1.8253387371760084,0.4665971377579454,0.0,60000,50,0.019378167925970136,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
1,logistic,none,,,none,shrinkage,0.01,val,0.0633037485802426,0.9178102050372832,0.06615641450215351,0.013392919042272512,1.816132777748676,0.4642438899844639,0.0,60000,50,0.019184386246710372,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
2,logistic,none,,,none,shrinkage,0.05,val,0.0633037485802426,0.9178102050372832,0.06277508993729694,0.01237542094596299,1.777225410034389,0.45429830232807716,0.0,60000,48,0.01840925952967165,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
3,logistic,none,,,none,shrinkage,0.1,val,0.0633037485802426,0.9178102050372832,0.05879967905410763,0.011164581297172316,1.7290074683261991,0.4419727250906006,0.0,60000,45,0.017440351133373055,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
4,logistic,none,,,none,shrinkage,0.2,val,0.0633037485802426,0.9178102050372832,0.05137561552932287,0.008946345238245034,1.6256135637547442,0.4155429458106756,0.0,60000,40,0.015502534340776197,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
5,logistic,none,,,none,noise_rank,0.9,val,0.06865719776318303,0.9076515344143016,,,2.4489390581145623,0.6260032353379633,0.0,60000,48,0.03169965620881443,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
6,logistic,none,,,none,noise_rank,0.95,val,0.06684650367228188,0.9143039420865458,,,2.202395160799959,0.562981137315403,0.0,60000,49,0.026603431137314115,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
7,logistic,none,,,none,noise_rank,0.98,val,0.06477461737264435,0.9150336704791643,,,2.029956234145601,0.5189019163049209,0.0,60000,50,0.02240247226479386,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
8,logistic,none,,,none,noise_rank,0.99,val,0.06420509322587434,0.9157363612411539,,,1.9333524674473692,0.494207847132989,0.0,60000,50,0.01937332102616318,0.10473389699996005,0.16426581299992904,1740,60000,0.1,0.0009666666666666667
9,logistic,none,,,none,raw,,test,0.03168584873112337,0.9133153427623715,0.06733265169938048,0.013850626284642396,1.8205000978539072,0.4653602740392538,0.0,60000,49,0.008075773732853508,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
10,logistic,none,,,none,shrinkage,0.01,test,0.03168584873112337,0.9133153427623715,0.06644381713329275,0.013586589945088247,1.811411433792892,0.46303700956754584,0.0,60000,48,0.00799501599552499,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
11,logistic,none,,,none,shrinkage,0.05,test,0.03168584873112337,0.9133153427623715,0.06304071196771195,0.012557755172514064,1.773415512791437,0.4533244079420612,0.0,60000,46,0.007671985046210805,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
12,logistic,none,,,none,shrinkage,0.1,test,0.03168584873112337,0.9133153427623715,0.05902982997290397,0.01133316052449177,1.7250702667743005,0.4409662888946898,0.0,60000,44,0.007268196359568102,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
13,logistic,none,,,none,shrinkage,0.2,test,0.03168584873112337,0.9133153427623715,0.0515512281826742,0.00908880062076528,1.6214284171096056,0.414473129339931,0.0,60000,39,0.006460618986282807,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
14,logistic,none,,,none,noise_rank,0.9,test,0.03414360689750034,0.9119355606971797,,,2.446014415591387,0.625255631727474,0.0,60000,48,0.01871033683207468,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
15,logistic,none,,,none,noise_rank,0.95,test,0.032500304858661504,0.9186017748191068,,,2.2002662937173048,0.5624369515885553,0.0,60000,48,0.01844545857683022,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
16,logistic,none,,,none,noise_rank,0.98,test,0.03187102420312247,0.9160585117337564,,,2.026565172147378,0.5180350855134052,0.0,60000,48,0.007595725676651566,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
17,logistic,none,,,none,noise_rank,0.99,test,0.03190568927851873,0.9145636759212066,,,1.9317749710034284,0.49380460399209947,0.0,60000,48,0.007933389064106122,0.10473389699996005,0.08986491200005275,1740,60000,0.1,0.0009666666666666667
18,logistic,label_smoothing,0.01,,none,raw,,val,0.06333565251233313,0.9177000410741878,0.0662312295475582,0.01332679745574482,1.8221667980572793,0.46578631964303974,0.0,60000,50,0.021050153724093357,0.10906803599993964,0.16874774400002934,1740,60000,0.09900966666666668,0.0009666666666666667
19,logistic,label_smoothing,0.01,,none,shrinkage,0.01,val,0.06333565251233313,0.9177000410741878,0.06535304008503004,0.013072251622514974,1.8129480509579057,0.4634298030564598,0.0,60000,49,0.020839652186852464,0.10906803599993964,0.16874774400002934,1740,60000,0.09900966666666668,0.0009666666666666667
