run_id,encoder,model_name,eval_split,average_precision,roc_auc,log_loss,brier_score,n_features_out,encode_fit_time_seconds,encode_transform_time_seconds,train_time_seconds,predict_time_seconds,n_train,n_eval,positive_rate_train,positive_rate_eval
0,onehot,logistic,val,0.0633037485802426,0.9178102050372832,0.06705748677067831,0.013654075007638359,105,0.019454962999930103,0.39266326599999957,0.014712193000036677,0.006997707999971681,1740,60000,0.1,0.0009666666666666667
1,onehot,logistic,test,0.03168584873112337,0.9133153427623715,0.06733265169938048,0.013850626284642396,105,0.019454962999930103,0.2924134759999788,0.014712193000036677,0.0064997560000392696,1740,60000,0.1,0.0009666666666666667
2,onehot,rff_logistic,val,0.07245682447485148,0.855915603474163,0.0812731207312932,0.013037529390582885,105,0.019454962999930103,0.39266326599999957,0.45045480199996746,0.6844862299999477,1740,60000,0.1,0.0009666666666666667
3,onehot,rff_logistic,test,0.018368839558404546,0.8757370630690128,0.08085204873295566,0.012939863483893137,105,0.019454962999930103,0.2924134759999788,0.45045480199996746,0.6011331999999356,1740,60000,0.1,0.0009666666666666667
4,onehot,mlp,val,0.05263523789620127,0.9149830468303267,0.05877900909321106,0.012558263580699072,105,0.019454962999930103,0.39266326599999957,0.20031791300004897,0.05501588299989635,1740,60000,0.1,0.0009666666666666667
5,onehot,mlp,test,0.03383844488574079,0.9114368027023824,0.058570875724356396,0.012560432401702633,105,0.019454962999930103,0.2924134759999788,0.20031791300004897,0.026971376000005876,1740,60000,0.1,0.0009666666666666667
6,onehot,catboost_encoded,val,0.06897330058493317,0.9191589225906882,0.06188459691131798,0.011560954782135443,105,0.019454962999930103,0.39266326599999957,0.5387718819999918,0.043186318999914874,1740,60000,0.1,0.0009666666666666667
7,onehot,catboost_encoded,test,0.032206348008232445,0.9198084009945245,0.0618645235587552,0.01154460197480967,105,0.019454962999930103,0.2924134759999788,0.5387718819999918,0.03213830400000006,1740,60000,0.1,0.0009666666666666667
8,ordinal,logistic,val,0.007512320815322324,0.8630311024795233,0.09809411056480215,0.019825434054321325,4,0.008765075000042089,0.015367781000009018,0.007008281000025818,0.0012910579999925176,1740,60000,0.1,0.0009666666666666667
9,ordinal,logistic,test,0.004404929942424673,0.8338431173122524,0.09802973543400033,0.019902679675021188,4,0.008765075000042089,0.01684628500004237,0.007008281000025818,0.0013149750000138738,1740,60000,0.1,0.0009666666666666667
10,ordinal,rff_logistic,val,0.022192883354479907,0.7947495797661877,0.0831498262627196,0.010460553053887265,4,0.008765075000042089,0.015367781000009018,0.331862765999972,0.5084656010000117,1740,60000,0.1,0.0009666666666666667
11,ordinal,rff_logistic,test,0.012916145489278311,0.7869644679512033,0.08315370118217998,0.010454224963789747,4,0.008765075000042089,0.01684628500004237,0.331862765999972,0.4324988029999304,1740,60000,0.1,0.0009666666666666667
12,ordinal,mlp,val,0.0008962129748589332,0.4853467547364752,0.18211714341053808,0.04101802895943339,4,0.008765075000042089,0.015367781000009018,0.05983474399999977,0.016244176000100197,1740,60000,0.1,0.0009666666666666667
13,ordinal,mlp,test,0.0008835984107373673,0.48126177143652654,0.18374505692909932,0.041568826814899915,4,0.008765075000042089,0.01684628500004237,0.05983474399999977,0.021489958000074694,1740,60000,0.1,0.0009666666666666667
14,ordinal,catboost_encoded,val,0.06986786167155422,0.8945067875958255,0.07447271595738615,0.01443137608949392,4,0.008765075000042089,0.015367781000009018,0.16017673700002888,0.008372756000085246,1740,60000,0.1,0.0009666666666666667
15,ordinal,catboost_encoded,test,0.026664637418544673,0.9069632253707319,0.07415401371528381,0.01448733737381416,4,0.008765075000042089,0.01684628500004237,0.16017673700002888,0.007538754000051995,1740,60000,0.1,0.0009666666666666667
16,frequency,logistic,val,0.006710705836492754,0.8643211426217757,0.09749657306249411,0.019321749744260333,4,0.008185097000023234,0.005883564999976443,0.004054530000075829,0.0012486109999372275,1740,60000,0.1,0.0009666666666666667
17,frequency,logistic,test,0.004187344237010448,0.8315995692387699,0.09762090676153169,0.019441241627686987,4,0.008185097000023234,0.005836992000013197,0.004054530000075829,0.0011585620000005292,1740,60000,0.1,0.0009666666666666667
18,frequency,rff_logistic,val,0.009864588528427304,0.8597816970197628,0.0957262214077033,0.018329964145336598,4,0.008185097000023234,0.005883564999976443,0.40372586900002716,0.43880411099996763,1740,60000,0.1,0.0009666666666666667
19,frequency,rff_logistic,test,0.007759809921219765,0.8131898191240038,0.09535091692125222,0.018283518592244332,4,0.008185097000023234,0.005836992000013197,0.40372586900002716,0.37577912999995533,1740,60000,0.1,0.0009666666666666667
20,frequency,mlp,val,0.0060883143002188975,0.8402832508206209,0.10822160504563882,0.02107738038861481,4,0.008185097000023234,0.005883564999976443,0.12054859699992448,0.014181088000100317,1740,60000,0.1,0.0009666666666666667
21,frequency,mlp,test,0.0034518291853946957,0.8105726340059759,0.10793708727190181,0.021053731291628776,4,0.008185097000023234,0.005836992000013197,0.12054859699992448,0.01244446499993046,1740,60000,0.1,0.0009666666666666667
22,frequency,catboost_encoded,val,0.042760343444242885,0.9070475022406717,0.06098131477045031,0.01225742363601147,4,0.008185097000023234,0.005883564999976443,0.15535315599993282,0.007943102000012914,1740,60000,0.1,0.0009666666666666667
23,frequency,catboost_encoded,test,0.03238202822128321,0.9159253370211895,0.061109848051695545,0.012305311471464485,4,0.008185097000023234,0.005836992000013197,0.15535315599993282,0.007197106000035092,1740,60000,0.1,0.0009666666666666667
24,target,logistic,val,0.056611397542113424,0.9222481157072526,0.06789822020112009,0.013817611860149608,4,0.009281448000024284,0.014420577999999296,0.003870721999987836,0.0012508139999454215,1740,60000,0.1,0.0009666666666666667
25,target,logistic,test,0.027370576762041264,0.9098936443159421,0.0679511202466009,0.013896202318843545,4,0.009281448000024284,0.01431856700003209,0.003870721999987836,0.0012659420000318278,1740,60000,0.1,0.0009666666666666667
26,target,rff_logistic,val,0.03971830908506222,0.9102390931923847,0.07158529005601613,0.011767958436657688,4,0.009281448000024284,0.014420577999999296,0.2492676519999577,0.43033645699995304,1740,60000,0.1,0.0009666666666666667
27,target,rff_logistic,test,0.024407450612215106,0.9004284601551615,0.07121592750126071,0.011728841896345436,4,0.009281448000024284,0.01431856700003209,0.2492676519999577,0.3781816080000908,1740,60000,0.1,0.0009666666666666667
28,target,mlp,val,0.06576820981685609,0.9218897232842322,0.0693263128127702,0.013721565517727323,4,0.009281448000024284,0.014420577999999296,0.18475614500005122,0.014398722000009911,1740,60000,0.1,0.0009666666666666667
29,target,mlp,test,0.02505303879698208,0.9066307200408671,0.06937626345454317,0.013806784328766215,4,0.009281448000024284,0.01431856700003209,0.18475614500005122,0.0127751630000148,1740,60000,0.1,0.0009666666666666667
30,target,catboost_encoded,val,0.06789850213692827,0.919893828401938,0.06500926362956597,0.01489250181703541,4,0.009281448000024284,0.014420577999999296,0.16141203799998038,0.008397239000032641,1740,60000,0.1,0.0009666666666666667
31,target,catboost_encoded,test,0.030651643657380465,0.9141604125367165,0.06479115799537952,0.014774778976281738,4,0.009281448000024284,0.01431856700003209,0.16141203799998038,0.007172042000092915,1740,60000,0.1,0.0009666666666666667
32,hashing,logistic,val,0.025162006806808593,0.8912693189623533,0.08088347290196889,0.01746087721643016,66,0.007952248000037798,0.0831017459998975,0.00910123799997109,0.007867275000080554,1740,60000,0.1,0.0009666666666666667
33,hashing,logistic,test,0.012470950730945621,0.8856164407202824,0.08144713626474286,0.017807482495784892,66,0.007952248000037798,0.10978480700009641,0.00910123799997109,0.007611225999994531,1740,60000,0.1,0.0009666666666666667
34,hashing,rff_logistic,val,0.01943532388771261,0.8553167487191641,0.08416629300713585,0.013455687183518413,66,0.007952248000037798,0.0831017459998975,0.1931305099999463,0.4602169380000305,1740,60000,0.1,0.0009666666666666667
35,hashing,rff_logistic,test,0.011150515477265107,0.865779161235171,0.08396560009050245,0.013454933244685522,66,0.007952248000037798,0.10978480700009641,0.1931305099999463,0.3996885400000565,1740,60000,0.1,0.0009666666666666667
36,hashing,mlp,val,0.023777494114911788,0.893036256887405,0.07838700660074824,0.018896917356271494,66,0.007952248000037798,0.0831017459998975,0.23588840600007188,0.030452689999947324,1740,60000,0.1,0.0009666666666666667
37,hashing,mlp,test,0.013032997666901691,0.8869162604310604,0.07877351311808659,0.019124541467917137,66,0.007952248000037798,0.10978480700009641,0.23588840600007188,0.02462487200000396,1740,60000,0.1,0.0009666666666666667
38,hashing,catboost_encoded,val,0.030378646744350396,0.8922222516248466,0.07633306826552426,0.015825353721049207,66,0.007952248000037798,0.0831017459998975,0.20717398500005402,0.02233777399999326,1740,60000,0.1,0.0009666666666666667
39,hashing,catboost_encoded,test,0.013688863703988682,0.8893486404673944,0.07634645528742161,0.01592516090126292,66,0.007952248000037798,0.10978480700009641,0.20717398500005402,0.027216368000040347,1740,60000,0.1,0.0009666666666666667
40,native,catboost_native,val,0.05725110277077579,0.9205397113761694,0.05669918941806752,0.012058934160831408,4,,,0.3267737749999924,0.03363136999996641,1740,60000,0.1,0.0009666666666666667
41,native,catboost_native,test,0.03338946599097961,0.9141320805514296,0.0569688404112767,0.01211444885180259,4,,,0.3267737749999924,0.02629464899996492,1740,60000,0.1,0.0009666666666666667
