k,classifier,auc,avg_precision,fit_seconds
2,logit,0.7607876266362066,0.12968712991825404,0.01043708199995308
2,svm,0.5609103132077118,0.060390766353446416,0.2537444540000706
2,rf,0.7722174407951359,0.2533964319174983,0.74439746500002
2,mlp,0.8021374962156217,0.3050434527225262,2.5966176670000323
2,catboost,0.8526908417382889,0.35561635833136296,0.22032027299997026
5,logit,0.7858775593304592,0.1635302438146756,0.011571913000011591
5,svm,0.6896518900738896,0.21241445565738254,0.3288474390000147
5,rf,0.7998457163481179,0.2769525058643218,1.0862449339999785
5,mlp,0.8540518958909254,0.3568775204068798,1.2257146609999836
5,catboost,0.8460944554395233,0.35077027724456783,0.289058649000026
10,logit,0.7707539274906499,0.14167844823594888,0.04746796099993844
10,svm,0.4991955304012829,0.06340746139874658,0.41528437800002393
10,rf,0.7866820289291763,0.2775168886876608,1.4299410769999668
10,mlp,0.853516464194162,0.36248630956651323,1.5334404799999675
10,catboost,0.84344241597358,0.3576410595528448,0.3354665180000893
20,logit,0.7831442135698222,0.22718054538285232,0.052178834999949686
20,svm,0.7394443937657242,0.25924854043837786,0.5683393250000108
20,rf,0.7782255132542482,0.25938927559807845,1.772705536999979
20,mlp,0.8605682979485695,0.36089693526505556,1.2918051820001892
20,catboost,0.8405246437396137,0.3354096115900128,0.38730810499987456
