setup,n_train,n,auc_mean,auc_ci95,average_precision_mean,average_precision_ci95,brier_score_mean,brier_score_ci95
catboost,200,30,0.5284611762365117,0.004963634757054469,0.011171210865667728,0.00029727330980071527,0.01010596071224403,0.00017426073618183845
catboost,500,30,0.49917437165388023,0.004323913904026949,0.010385582306590964,0.0002943965809903224,0.010161276383025707,0.00016481953826787132
catboost,1000,30,0.49883652611186796,0.003474717238075048,0.010336278682179382,0.00025496878934582,0.010037375625806488,0.00013348647152826038
catboost,2000,30,0.5658954115416462,0.0046263541353986914,0.012751720489608064,0.0002828908583148975,0.009945873793171772,0.00014314461067935474
catboost,5000,30,0.5721493328051019,0.003796938289698515,0.013675945307002108,0.00043264692769244203,0.010027880752157258,0.00014362675194207197
catboost,10000,30,0.5741332662340568,0.004389240506977421,0.013495223786872738,0.00032246411334750213,0.009894011651006406,0.0001615094954464831
decision_tree,200,30,0.49787977479759604,0.0029636559992820277,0.009979073283098796,0.00018294964961602673,0.011992861486386754,0.00017030812132966602
decision_tree,500,30,0.4948701643399272,0.002950231679934162,0.009863620121580815,0.00019107432905377583,0.011476738852184476,0.00015518376820012562
decision_tree,1000,30,0.5101113766020325,0.002326518276962175,0.010334038739601375,0.00017509130454048966,0.010302115162967944,0.00012996250771535843
decision_tree,2000,30,0.5037789562308216,0.0013139893751438203,0.010168156854331482,0.0001708075165803716,0.010189496759049755,0.00014137218973848432
decision_tree,5000,30,0.5009108104918711,0.0028890594979777418,0.010317001710127253,0.00017543899253011364,0.010492252812512894,0.00013982472170540917
decision_tree,10000,30,0.5010931003417699,0.001313977278804862,0.010083937945094896,0.0001665641735641146,0.010126666135186356,0.0001620872191022962
figs,200,30,0.5008345703096955,0.0011277220207608907,0.010034187969485537,0.00018295263981203593,0.08398315860029618,0.00010969506020459124
figs,500,30,0.5016301833012614,0.0008950604353499814,0.010127649779396602,0.00016524541239129782,0.08520376405167225,0.00013512690775915187
figs,1000,30,0.5009398642014442,0.0005600498491403205,0.010098257895872403,0.0001435353230833606,0.07883455731220998,6.932527554161932e-05
figs,2000,30,0.5000683987559654,0.001690647897726022,0.010030445982650326,0.00015621133559143036,0.08331063076155636,0.00010289064077821652
figs,5000,30,0.49884071330386365,0.000960519814164118,0.0101126519696537,0.0001447115476073341,0.08041382351383594,7.070032500651469e-05
figs,10000,30,0.4991197870000958,0.0011511672078429458,0.009980749116982419,0.00015798467407413842,0.07969416288877602,7.634195997730658e-05
greedy,200,30,0.5003653620747992,0.0007698947085623686,0.010014404061186541,0.00017682303242133775,0.020827999583440098,0.00025005832833216793
greedy,500,30,0.4994020323357493,0.0014188602002900563,0.01016744395738627,0.00017897500906069105,0.01955757999332701,0.00018253649336807953
greedy,1000,30,0.5028205091292052,0.00132223308844015,0.01013703825930257,0.00014388398616276867,0.011192257026378388,0.00013273925530159908
greedy,2000,30,0.5031544551387697,0.0014035654330175062,0.010149941004812731,0.00018265688491596668,0.01136793002997136,0.00015108422479766757
greedy,5000,30,0.5008970238744724,0.0008601730491603066,0.010190406655107898,0.00015039904322110623,0.011731506907501672,0.00015566644666198653
greedy,10000,30,0.5004098042829038,0.00041618641385032795,0.010060317850133728,0.00017224149838735662,0.010512441845768208,0.00015474788095101114
hgb,200,30,0.5210707354539305,0.004731018054562386,0.010799071672496278,0.00021124883548764416,0.010040337717906862,0.00017412457505833895
hgb,500,30,0.5184655589585517,0.0050882787844597765,0.01094297231554547,0.00029553507458757525,0.010124781901893452,0.0001638499781193379
hgb,1000,30,0.5274932056524524,0.004847320054325699,0.011129665006045597,0.00037146486828429966,0.01004621769423923,0.00013391457782131744
hgb,2000,30,0.5676080068754661,0.004399195054155369,0.013469199137280568,0.0004743709184891389,0.009989624368363556,0.00014391949994175483
hgb,5000,30,0.5726365990661653,0.004055692850955417,0.013422189599935568,0.00040677071648345404,0.010119033275535776,0.00014633276352158785
hgb,10000,30,0.6078107235390688,0.003836409072094482,0.015733933247015174,0.00042027298835898945,0.009973710652547516,0.00016424524545820534
logistic,200,30,0.5290022056544479,0.004860672368085017,0.01126338860705352,0.0002627105971417243,0.010023008292595252,0.000173969726179184
logistic,500,30,0.5622707162918326,0.004372765864654127,0.012881051261554756,0.0003581826345733863,0.014591052915269043,0.0001854029544422573
logistic,1000,30,0.5640058787968372,0.004091905695260134,0.013036750732155497,0.00036730244320269754,0.010161958996808556,0.00013224299389167065
logistic,2000,30,0.5878748783953391,0.004173650159547404,0.014591731110629327,0.00044151261139690253,0.01619254899081904,0.00016990135525877907
logistic,5000,30,0.6345124205857701,0.0036270008321018787,0.01841614971904232,0.0005873183016782812,0.010486666485292288,0.00014823508739523084
logistic,10000,30,0.6970928250933849,0.003846902930794538,0.026681557720074054,0.0010691309968201331,0.009969808325065825,0.0001595837884994216
